536365	85123A	6	2016-12-01	2.55	15.3	17850
536365	71053	6	2016-12-01	3.39	20.34	17850
536365	84406B	8	2016-12-01	2.75	22.0	17850
536365	84029G	6	2016-12-01	3.39	20.34	17850
536365	84029E	6	2016-12-01	3.39	20.34	17850
536365	22752	2	2016-12-01	7.65	15.3	17850
536365	21730	6	2016-12-01	4.25	25.5	17850
536366	22633	6	2016-12-01	1.85	11.1	17850
536366	22632	6	2016-12-01	1.85	11.1	17850
536367	84879	32	2016-12-01	1.69	54.08	13047
536367	22745	6	2016-12-01	2.1	12.6	13047
536367	22748	6	2016-12-01	2.1	12.6	13047
536367	22749	8	2016-12-01	3.75	30.0	13047
536367	22310	6	2016-12-01	1.65	9.9	13047
536367	84969	6	2016-12-01	4.25	25.5	13047
536367	22623	3	2016-12-01	4.95	14.85	13047
536367	22622	2	2016-12-01	9.95	19.9	13047
536367	21754	3	2016-12-01	5.95	17.85	13047
536367	21755	3	2016-12-01	5.95	17.85	13047
536367	21777	4	2016-12-01	7.95	31.8	13047
536367	48187	4	2016-12-01	7.95	31.8	13047
536368	22960	6	2016-12-01	4.25	25.5	13047
536368	22913	3	2016-12-01	4.95	14.85	13047
536368	22912	3	2016-12-01	4.95	14.85	13047
536368	22914	3	2016-12-01	4.95	14.85	13047
536369	21756	3	2016-12-01	5.95	17.85	13047
536370	22728	24	2016-12-01	3.75	90.0	12583
536370	22727	24	2016-12-01	3.75	90.0	12583
536370	22726	12	2016-12-01	3.75	45.0	12583
536370	21724	12	2016-12-01	0.85	10.2	12583
536370	21883	24	2016-12-01	0.65	15.6	12583
536370	10002	48	2016-12-01	0.85	40.8	12583
536370	21791	24	2016-12-01	1.25	30.0	12583
536370	21035	18	2016-12-01	2.95	53.1	12583
536370	22326	24	2016-12-01	2.95	70.8	12583
536370	22629	24	2016-12-01	1.95	46.8	12583
536370	22659	24	2016-12-01	1.95	46.8	12583
536370	22631	24	2016-12-01	1.95	46.8	12583
536370	22661	20	2016-12-01	0.85	17.0	12583
536370	21731	24	2016-12-01	1.65	39.6	12583
536370	22900	24	2016-12-01	2.95	70.8	12583
536370	21913	12	2016-12-01	3.75	45.0	12583
536370	22540	24	2016-12-01	0.42	10.08	12583
536370	22544	24	2016-12-01	0.42	10.08	12583
536370	22492	36	2016-12-01	0.65	23.4	12583
536370	POST	3	2016-12-01	18.0	54.0	12583
536371	22086	80	2016-12-01	2.55	204.0	13748
